school_name,category,value
LAKE HARRIET LOWER,aa_pct,0.044145873320537425
LIND,aa_pct,0.7412935323383084
LK NOKOMIS WENONAH,aa_pct,0.14333333333333334
LORING,aa_pct,0.43031784841075793
LUCY LANEY @ CLVLND,aa_pct,0.8697788697788698
LYNDALE,aa_pct,0.5030674846625767
NELLIE STONE JOHNSON,aa_pct,0.57981220657277
NORTHROP,aa_pct,0.10843373493975904
PILLSBURY,aa_pct,0.5388739946380697
PRATT,aa_pct,0.5652173913043478
SHERIDAN,aa_pct,0.5526315789473685
WAITE PARK,aa_pct,0.2458628841607565
WEBSTER COMMUNITY,aa_pct,0.27232142857142855
WHITTIER,aa_pct,0.49012567324955114
WINDOM,aa_pct,0.05163511187607573
ANDERSEN UNITED,aa_pct,0.37168141592920356
ANISHINABE ACAD,aa_pct,0.08415841584158416
BARTON,aa_pct,0.3942701227830832
FIELD,aa_pct,0.1487279843444227
FOLWELL FINE ARTS,aa_pct,0.2809917355371901
HMONG INTERNATIONAL,aa_pct,0.450199203187251
JEFFERSON,aa_pct,0.40040241448692154
LAKE HARRIET UPPER,aa_pct,0.030165912518853696
LK NOKOMIS KEEWAYDIN,aa_pct,0.22198275862068967
MARCY OPEN,aa_pct,0.4204993429697766
SEWARD,aa_pct,0.47635524798154555
SULLIVAN,aa_pct,0.867003367003367
ANTHONY,aa_pct,0.29842931937172773
ANWATIN NEW,aa_pct,0.40421792618629176
FRANKLIN,aa_pct,0.7475247524752475
JUSTICE PAGE,aa_pct,0.2632821723730815
NORTHEAST,aa_pct,0.4230769230769231
OLSON MIDDLE,aa_pct,0.674863387978142
SANFORD,aa_pct,0.2705761316872428
EDISON HIGH,aa_pct,0.5399792315680166
FAIR HIGH SCHOOL,aa_pct,0.49537037037037035
HENRY HIGH,aa_pct,0.5049864007252947
HERITAGE,aa_pct,0.9894179894179894
NORTH HIGH,aa_pct,0.9142212189616253
ROOSEVELT HIGH,aa_pct,0.334322453016815
SOUTH HIGH,aa_pct,0.3931149361465852
SOUTHWEST HIGH,aa_pct,0.2831765935214211
WASHBURN HIGH,aa_pct,0.21649484536082475
MACC,aa_pct,0.6896551724137931
LONGFELLOW,aa_pct,0.42528735632183906
WELLSTONE,aa_pct,0.6073825503355704
WELLSTONE SWS,aa_pct,0.5714285714285714
HARRISON SEC CTR,aa_pct,0.8484848484848485
RIVER BEND ED CNT,aa_pct,0.7974683544303798
TRANSITION PLUS,aa_pct,0.5375939849624061
AMERICAN IND OIC,aa_pct,0.04878048780487805
CENTER SCHOOL,aa_pct,0.11428571428571428
LORING-NICOLLET,aa_pct,0.3
MENLO PARK,aa_pct,0.5217391304347826
MERC,aa_pct,0.5178571428571429
PLYMOUTH YTH CTR,aa_pct,0.831081081081081
