school_name,category,value
JEFFERSON,as_pct,0.031180400890868598
LAKE HARRIET UPPER,as_pct,0.06782334384858044
LK NOKOMIS KEEWAYDIN,as_pct,0.04310344827586207
MARCY OPEN,as_pct,0.05006765899864682
SEWARD,as_pct,0.034278959810874705
SULLIVAN,as_pct,0.009523809523809525
ANTHONY,as_pct,0.04219948849104859
ANWATIN NEW,as_pct,0.06951871657754011
FRANKLIN,as_pct,0.016216216216216217
JUSTICE PAGE,as_pct,0.03664302600472813
NORTHEAST,as_pct,0.0437375745526839
OLSON,as_pct,0.08461538461538462
SANFORD,as_pct,0.03917525773195876
EDISON HIGH,as_pct,0.05054509415262636
FAIR HIGH SCHOOL,as_pct,0.030837004405286344
HENRY HIGH,as_pct,0.3097261567516525
HERITAGE,as_pct,0
NORTH ACADEMY,as_pct,0.020089285714285716
ROOSEVELT HIGH,as_pct,0.041176470588235294
SOUTH HIGH,as_pct,0.03618609994256174
SOUTHWEST HIGH,as_pct,0.04922279792746114
WASHBURN HIGH,as_pct,0.042839657282741736
LONGFELLOW,as_pct,0.02531645569620253
MACC,as_pct,0.05555555555555555
WELLSTONE,as_pct,0.031746031746031744
WELLSTONE SWS,as_pct,0
HARRISON SEC CTR,as_pct,0
RIVER BEND ED CNT,as_pct,0.011627906976744186
TRANSITION PLUS,as_pct,0.032846715328467155
AMERICAN IND OIC,as_pct,0
CENTER SCHOOL,as_pct,0
LORING-NICOLLET,as_pct,0.08333333333333333
MENLO PARK,as_pct,0.025974025974025976
MERC,as_pct,0.03389830508474576
PLYMOUTH YTH CTR,as_pct,0.058823529411764705
RON MCDONALD HOUSE,as_pct,0.14285714285714285
VOA PHOENIX,as_pct,0
Total,as_pct,0.05806526535826269
ARMATAGE,hi_num,29
BANCROFT,hi_num,93
BETHUNE,hi_num,9
BRYN MAWR,hi_num,32
BURROUGHS,hi_num,41
CITYVIEW COMMUNITY,hi_num,9
DOWLING,hi_num,28
EMERSON SILC,hi_num,344
GREEN,hi_num,160
HALE,hi_num,35
HALL,hi_num,15
HIAWATHA,hi_num,28
HOWE,hi_num,30
KENNY,hi_num,19
KENWOOD,hi_num,28
LAKE HARRIET LOWER,hi_num,10
LIND,hi_num,21
LK NOKOMIS WENONAH,hi_num,33
LORING,hi_num,39
LUCY LANEY @ CLVLND,hi_num,14
LYNDALE,hi_num,55
NELLIE STONE JOHNSON,hi_num,143
NORTHROP,hi_num,44
PILLSBURY,hi_num,83
PRATT,hi_num,17
SHERIDAN,hi_num,82
WAITE PARK,hi_num,40
WEBSTER COMMUNITY,hi_num,36
WHITTIER,hi_num,133
WINDOM,hi_num,260
ANDERSEN UNITED,hi_num,460
ANISHINABE ACAD,hi_num,37
BARTON,hi_num,27
FIELD,hi_num,33
FOLWELL FINE ARTS,hi_num,428
HMONG INTERNATIONAL,hi_num,16
JEFFERSON,hi_num,230
LAKE HARRIET UPPER,hi_num,24
LK NOKOMIS KEEWAYDIN,hi_num,72
MARCY OPEN,hi_num,65
SEWARD,hi_num,43
SULLIVAN,hi_num,21
ANTHONY,hi_num,90
ANWATIN NEW,hi_num,199
FRANKLIN,hi_num,64
JUSTICE PAGE,hi_num,155
NORTHEAST,hi_num,98
OLSON,hi_num,47
SANFORD,hi_num,184
EDISON HIGH,hi_num,167
FAIR HIGH SCHOOL,hi_num,36
HENRY HIGH,hi_num,104
HERITAGE,hi_num,0
NORTH ACADEMY,hi_num,21
ROOSEVELT HIGH,hi_num,338
SOUTH HIGH,hi_num,313
SOUTHWEST HIGH,hi_num,207
WASHBURN HIGH,hi_num,261
LONGFELLOW,hi_num,40
MACC,hi_num,6
WELLSTONE,hi_num,99
WELLSTONE SWS,hi_num,8
HARRISON SEC CTR,hi_num,1
RIVER BEND ED CNT,hi_num,5
TRANSITION PLUS,hi_num,48
AMERICAN IND OIC,hi_num,4
CENTER SCHOOL,hi_num,7
LORING-NICOLLET,hi_num,10
MENLO PARK,hi_num,13
MERC,hi_num,19
PLYMOUTH YTH CTR,hi_num,4
RON MCDONALD HOUSE,hi_num,0
VOA PHOENIX,hi_num,40
Total,hi_num,5954
ARMATAGE,hi_pct,0.047933884297520664
BANCROFT,hi_pct,0.1848906560636183
BETHUNE,hi_pct,0.032846715328467155
BRYN MAWR,hi_pct,0.10702341137123746
BURROUGHS,hi_pct,0.05540540540540541
CITYVIEW COMMUNITY,hi_pct,0.03383458646616541
DOWLING,hi_pct,0.05870020964360587
EMERSON SILC,hi_pct,0.7078189300411523
GREEN,hi_pct,0.583941605839416
HALE,hi_pct,0.05426356589147287
HALL,hi_pct,0.07772020725388601
HIAWATHA,hi_pct,0.11290322580645161
HOWE,hi_pct,0.13392857142857142
KENNY,hi_pct,0.0395010395010395
KENWOOD,hi_pct,0.06982543640897755
LAKE HARRIET LOWER,hi_pct,0.019801980198019802
LIND,hi_pct,0.05370843989769821
LK NOKOMIS WENONAH,hi_pct,0.1166077738515901
LORING,hi_pct,0.09653465346534654
LUCY LANEY @ CLVLND,hi_pct,0.032036613272311214
LYNDALE,hi_pct,0.1111111111111111
NELLIE STONE JOHNSON,hi_pct,0.36855670103092786
NORTHROP,hi_pct,0.08924949290060852
PILLSBURY,hi_pct,0.2577639751552795
PRATT,hi_pct,0.06204379562043796
SHERIDAN,hi_pct,0.2971014492753623
WAITE PARK,hi_pct,0.09803921568627451
WEBSTER COMMUNITY,hi_pct,0.1299638989169675
WHITTIER,hi_pct,0.2514177693761815
WINDOM,hi_pct,0.44905008635578586
ANDERSEN UNITED,hi_pct,0.5450236966824644
ANISHINABE ACAD,hi_pct,0.17050691244239632
BARTON,hi_pct,0.03862660944206009
FIELD,hi_pct,0.0637065637065637
FOLWELL FINE ARTS,hi_pct,0.5257985257985258
HMONG INTERNATIONAL,hi_pct,0.030131826741996232
JEFFERSON,hi_pct,0.512249443207127
LAKE HARRIET UPPER,hi_pct,0.03785488958990536
LK NOKOMIS KEEWAYDIN,hi_pct,0.15517241379310345
MARCY OPEN,hi_pct,0.08795669824086604
SEWARD,hi_pct,0.0508274231678487
SULLIVAN,hi_pct,0.04
ANTHONY,hi_pct,0.11508951406649616
ANWATIN NEW,hi_pct,0.35472370766488415
FRANKLIN,hi_pct,0.17297297297297298
JUSTICE PAGE,hi_pct,0.18321513002364065
NORTHEAST,hi_pct,0.19483101391650098
OLSON,hi_pct,0.12051282051282051
SANFORD,hi_pct,0.18969072164948453
EDISON HIGH,hi_pct,0.16551040634291378
FAIR HIGH SCHOOL,hi_pct,0.15859030837004406
HENRY HIGH,hi_pct,0.09820585457979225
HERITAGE,hi_pct,0
NORTH ACADEMY,hi_pct,0.046875
ROOSEVELT HIGH,hi_pct,0.33137254901960783
SOUTH HIGH,hi_pct,0.1797817346352671
SOUTHWEST HIGH,hi_pct,0.10725388601036269
WASHBURN HIGH,hi_pct,0.15973072215422277
LONGFELLOW,hi_pct,0.5063291139240507
MACC,hi_pct,0.16666666666666666
WELLSTONE,hi_pct,0.39285714285714285
WELLSTONE SWS,hi_pct,0.3333333333333333
HARRISON SEC CTR,hi_pct,0.034482758620689655
RIVER BEND ED CNT,hi_pct,0.05813953488372093
TRANSITION PLUS,hi_pct,0.17518248175182483
AMERICAN IND OIC,hi_pct,0.1111111111111111
CENTER SCHOOL,hi_pct,0.14893617021276595
LORING-NICOLLET,hi_pct,0.16666666666666666
MENLO PARK,hi_pct,0.16883116883116883
MERC,hi_pct,0.3220338983050847
PLYMOUTH YTH CTR,hi_pct,0.03361344537815126
RON MCDONALD HOUSE,hi_pct,0
VOA PHOENIX,hi_pct,0.37383177570093457
Total,hi_pct,0.172860294971548
ARMATAGE,wh_num,416
BANCROFT,wh_num,103
BETHUNE,wh_num,22
BRYN MAWR,wh_num,31
BURROUGHS,wh_num,567
CITYVIEW COMMUNITY,wh_num,26
DOWLING,wh_num,242
EMERSON SILC,wh_num,68
GREEN,wh_num,16
HALE,wh_num,486
HALL,wh_num,12
HIAWATHA,wh_num,170
HOWE,wh_num,136
