school_name,na_num,na_pct,aa_num,aa_pct,as_num,as_pct,hi_num,hi_pct,wh_num,wh_pct,tot,not_eligible_num,reduce_num,free_num,frpl_num,frpl_pct,hi_povnum,aa_povnum,wh_povnum,as_povnum,na_povnum,hi_povsch,aa_povsch,as_povsch,wh_povsch,na_povsch
HALL,4,0.02072538860103627,161,0.8341968911917098,1,0.0051813471502590676,15,0.07772020725388601,12,0.06217616580310881,193,10,15,208,233,0.9570815450643777,15,161,12,1,4,0.0025193147463889822,0.012532108663501207,5e-4,9.684448389960455e-4,0.0033500837520938024
HIAWATHA,6,0.024193548387096774,35,0.14112903225806453,9,0.036290322580645164,28,0.11290322580645161,170,0.6854838709677419,248,178,14,56,248,0.28225806451612906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HOWE,12,0.05357142857142857,38,0.16964285714285715,6,0.026785714285714284,30,0.13392857142857142,136,0.6071428571428571,224,141,22,61,224,0.3705357142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KENNY,4,0.008316008316008316,96,0.1995841995841996,30,0.062370062370062374,19,0.0395010395010395,331,0.6881496881496881,481,367,25,86,478,0.23221757322175732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KENWOOD,2,0.004987531172069825,65,0.16209476309226933,43,0.10723192019950124,28,0.06982543640897755,262,0.6533665835411472,401,320,15,66,401,0.20199501246882792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAKE HARRIET LOWER,2,0.0039603960396039604,24,0.047524752475247525,39,0.07722772277227723,10,0.019801980198019802,427,0.8455445544554455,505,477,6,20,503,0.05168986083499006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LIND,14,0.03580562659846547,283,0.7237851662404092,43,0.10997442455242967,21,0.05370843989769821,30,0.07672634271099744,391,30,27,332,389,0.922879177377892,21,283,30,43,14,0.003527040644944575,0.022028489141433797,0.0215,0.0024211120974901136,0.011725293132328308
LK NOKOMIS WENONAH,5,0.0176678445229682,48,0.1696113074204947,6,0.02120141342756184,33,0.1166077738515901,191,0.6749116607773852,283,168,28,87,283,0.40636042402826855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LORING,8,0.019801980198019802,180,0.44554455445544555,50,0.12376237623762376,39,0.09653465346534654,127,0.31435643564356436,404,138,61,204,403,0.6575682382133995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LUCY LANEY @ CLVLND,13,0.029748283752860413,389,0.8901601830663616,7,0.016018306636155607,14,0.032036613272311214,14,0.032036613272311214,437,72,12,371,455,0.8417582417582418,14,389,14,7,13,0.0023513604299630502,0.030279442671440802,0.0035,0.0011298523121620531,0.010887772194304857
LYNDALE,9,0.01818181818181818,225,0.45454545454545453,15,0.030303030303030304,55,0.1111111111111111,190,0.3838383838383838,495,223,34,238,495,0.5494949494949495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NELLIE STONE JOHNSON,11,0.028350515463917526,208,0.5360824742268041,6,0.015463917525773196,143,0.36855670103092786,19,0.04896907216494845,388,17,38,371,426,0.960093896713615,143,208,19,6,11,0.024017467248908297,0.016190550323032616,0.003,0.001533370995077072,0.009212730318257957
NORTHROP,13,0.02636916835699797,38,0.07707910750507099,22,0.04462474645030426,44,0.08924949290060852,375,0.7606490872210954,493,388,23,82,493,0.2129817444219067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PILLSBURY,5,0.015527950310559006,169,0.5248447204968945,4,0.012422360248447204,83,0.2577639751552795,61,0.18944099378881987,322,52,37,233,322,0.8385093167701864,83,169,61,4,5,0.013940208263352368,0.013154822137463999,0.002,0.004922927931563232,0.0041876046901172526
PRATT,23,0.08394160583941605,142,0.5182481751824818,7,0.025547445255474453,17,0.06204379562043796,85,0.3102189781021898,274,116,12,146,274,0.5766423357664233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SHERIDAN,15,0.05434782608695652,128,0.463768115942029,9,0.03260869565217391,82,0.2971014492753623,41,0.14855072463768115,276,45,33,198,276,0.8369565217391305,82,128,41,9,15,0.013772253946926436,0.009963415583404685,0.0045,0.0033088531999031557,0.01256281407035176
WAITE PARK,16,0.0392156862745098,98,0.24019607843137256,23,0.056372549019607844,40,0.09803921568627451,231,0.5661764705882353,408,226,40,143,409,0.4474327628361858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WEBSTER COMMUNITY,16,0.05776173285198556,67,0.24187725631768953,36,0.1299638989169675,36,0.1299638989169675,122,0.4404332129963899,277,145,15,137,297,0.5117845117845118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WHITTIER,6,0.011342155009451797,269,0.5085066162570888,15,0.02835538752362949,133,0.2514177693761815,106,0.2003780718336484,529,129,39,360,528,0.7556818181818182,133,269,106,15,6,0.022337924084648974,0.02093874056199891,0.0075,0.008554596077798403,0.005025125628140704
WINDOM,0,0,28,0.04835924006908463,10,0.017271157167530225,260,0.44905008635578586,279,0.48186528497409326,579,382,55,144,581,0.342512908777969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANDERSEN UNITED,27,0.031990521327014215,311,0.3684834123222749,11,0.013033175355450236,460,0.5450236966824644,35,0.041469194312796206,844,57,100,727,884,0.9355203619909502,460,311,35,11,27,0.07725898555592879,0.024207986300303574,0.0055,0.0028246307804051327,0.022613065326633167
ANISHINABE ACAD,151,0.695852534562212,19,0.08755760368663594,1,0.004608294930875576,37,0.17050691244239632,6,0.027649769585253458,217,21,7,222,250,0.916,37,19,6,1,151,0.006214309707759489,0.001478944500661633,5e-4,4.8422241949802277e-4,0.12646566164154105
BARTON,6,0.008583690987124463,285,0.40772532188841204,26,0.03719599427753934,27,0.03862660944206009,353,0.5050071530758226,699,394,35,270,699,0.4363376251788269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIELD,9,0.017374517374517374,67,0.12934362934362933,22,0.04247104247104247,33,0.0637065637065637,385,0.7432432432432432,518,422,28,67,517,0.18375241779497098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FOLWELL FINE ARTS,37,0.045454545454545456,244,0.29975429975429974,8,0.009828009828009828,428,0.5257985257985258,96,0.11793611793611794,814,117,85,612,814,0.8562653562653563,428,244,96,8,37,0.07188444743029895,0.018992760955865183,0.004,0.007747558711968364,0.03098827470686767
HMONG INTERNATIONAL,12,0.022598870056497175,255,0.480225988700565,239,0.4500941619585687,16,0.030131826741996232,9,0.01694915254237288,531,59,43,423,525,0.8876190476190476,16,255,9,239,12,0.0026872690628149142,0.019848991982564023,0.1195,7.263336292470342e-4,0.010050251256281407
JEFFERSON,8,0.017817371937639197,177,0.39420935412026725,14,0.031180400890868598,230,0.512249443207127,19,0.042316258351893093,449,36,39,405,480,0.925,230,177,19,14,8,0.038629492777964396,0.013777535611426792,0.007,0.001533370995077072,0.006700167504187605
LAKE HARRIET UPPER,0,0,20,0.031545741324921134,43,0.06782334384858044,24,0.03785488958990536,547,0.862776025236593,634,590,8,36,634,0.0694006309148265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LK NOKOMIS KEEWAYDIN,13,0.028017241379310345,87,0.1875,20,0.04310344827586207,72,0.15517241379310345,271,0.584051724137931,464,253,42,168,463,0.4535637149028078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MARCY OPEN,16,0.02165087956698241,310,0.41948579161028415,37,0.05006765899864682,65,0.08795669824086604,309,0.4181326116373478,739,360,45,334,739,0.5128552097428958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEWARD,22,0.026004728132387706,423,0.5,29,0.034278959810874705,43,0.0508274231678487,328,0.3877068557919622,846,385,36,425,846,0.5449172576832151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
