student_ID,course_ID,subject,semester,section,pre_int,pre_uv,pre_percomp,pre_tv,post_int,post_uv,post_tv,post_percomp,enrollment_reason,enrollment_status,final_grade,time_spent
103353,FrScA-S217-01,FrScA,S217,01,5,4,4.5,4.625,NA,NA,NA,NA,Scheduling Conflict,Approved/Enrolled,84.23,4236.1668
103386,FrScA-S217-02,FrScA,S217,02,4,4.333333333333333,4,4.125,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,76.73,809.4832
104056,FrScA-S217-03,FrScA,S217,03,3.8,3.6666666666666665,4,3.75,NA,NA,NA,NA,Learning Preference of the Student,Approved/Enrolled,79.79,1343.3832
104092,FrScA-S217-02,FrScA,S217,02,5,3.6666666666666665,2,4.5,NA,NA,NA,NA,Other,Approved/Enrolled,92.61,6537.0172
104172,FrScA-S217-03,FrScA,S217,03,5,3.6666666666666665,4,4.5,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,82.3,1440.1002
104191,FrScA-S217-03,FrScA,S217,03,4.8,4.666666666666667,4.5,4.75,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,97.21,1843.7664
104258,FrScA-S217-01,FrScA,S217,01,4.4,3.3333333333333335,3,4,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,80.27,1083.6833
104671,FrScA-S217-01,FrScA,S217,01,4,3.6666666666666665,3.5,3.875,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,85.09,975.2335
104861,AnPhA-S217-01,AnPhA,S217,01,4.6,4,4.5,4.375,NA,NA,NA,NA,Learning Preference of the Student,Approved/Enrolled,26.28,732.3502
104970,FrScA-S217-02,FrScA,S217,02,4,3.3333333333333335,3,3.75,NA,NA,NA,NA,Other,Approved/Enrolled,79.39,1309.3503
106413,FrScA-S217-02,FrScA,S217,02,3.6,2.3333333333333335,3.5,3.125,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,80,1007.8825
106419,FrScA-S217-02,FrScA,S217,02,5,3.6666666666666665,3.5,4.5,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,72.84,2300.4497
106879,OcnA-S217-01,OcnA,S217,01,4.2,3.6666666666666665,3.5,4,NA,NA,NA,NA,Learning Preference of the Student,Approved/Enrolled,82.69,4354.7668
106952,FrScA-S217-01,FrScA,S217,01,5,2.3333333333333335,3.5,4,NA,NA,NA,NA,Other,Approved/Enrolled,66.06,910.8335
107016,OcnA-S217-03,OcnA,S217,03,4,3.3333333333333335,3,3.75,NA,NA,NA,NA,Learning Preference of the Student,Approved/Enrolled,76.06,640.2
107146,FrScA-S217-01,FrScA,S217,01,3.4,2,1.5,2.875,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,73.76,2439.7666
107210,AnPhA-S217-02,AnPhA,S217,02,4.2,4.333333333333333,3.5,4.25,NA,NA,NA,NA,Scheduling Conflict,Approved/Enrolled,93.84,1818.1667
107599,AnPhA-S217-01,AnPhA,S217,01,4.4,4,4,4.25,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,62.99,1815.1664
108042,FrScA-S217-03,FrScA,S217,03,4.4,4.666666666666667,4,4.5,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,92.84,1298.5332
108147,AnPhA-S217-02,AnPhA,S217,02,5,5,4,5,NA,NA,NA,NA,Other,Approved/Enrolled,95.42,2165.9499
108177,PhysA-S217-01,PhysA,S217,01,5,4.333333333333333,4,4.75,NA,NA,NA,NA,Scheduling Conflict,Approved/Enrolled,97.01,1659.7165
110360,OcnA-S217-01,OcnA,S217,01,4.2,3.6666666666666665,4,4,NA,NA,NA,NA,Learning Preference of the Student,Approved/Enrolled,20.09,662.7336
110487,OcnA-S217-03,OcnA,S217,03,4.2,3.6666666666666665,4,4,NA,NA,NA,NA,Other,Approved/Enrolled,80.14,2442.9664
110564,FrScA-S217-02,FrScA,S217,02,4.8,3.6666666666666665,4,4.375,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,68.22,1275.183
111100,FrScA-S217-01,FrScA,S217,01,3,2,3.5,2.625,NA,NA,NA,NA,NA,NA,NA,NA
112764,FrScA-S217-01,FrScA,S217,01,5,2.3333333333333335,4,4,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,85.27,2384.4167
112787,FrScA-S217-01,FrScA,S217,01,4.2,3,4,3.75,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,91.87,5907.3006
112845,AnPhA-S217-02,AnPhA,S217,02,4.4,4,4,4.25,NA,NA,NA,NA,Scheduling Conflict,Dropped,NA,249.5
112869,FrScA-S217-02,FrScA,S217,02,4.8,3.6666666666666665,4.5,4.375,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,92.45,1311.8501
112870,FrScA-S217-02,FrScA,S217,02,NA,NA,NA,NA,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,93.65,1285.3169
112924,OcnA-S217-01,OcnA,S217,01,4.8,4,4,4.5,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,88.35,1325.984
112941,OcnA-S217-01,OcnA,S217,01,4.4,3,3,3.875,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,61.03,1452.3165
113112,AnPhA-S217-02,AnPhA,S217,02,5,4,4.5,4.625,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,90.59,2576.7168
113225,FrScA-S217-01,FrScA,S217,01,3.8,2.6666666666666665,4,3.375,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,65.91,965.6501
113232,FrScA-S217-03,FrScA,S217,03,NA,NA,NA,NA,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,89.9,1714.0667
113249,OcnA-S217-03,OcnA,S217,03,4.4,3.6666666666666665,3.5,4.125,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,84.39,1604.333
113257,FrScA-S217-02,FrScA,S217,02,4.8,3.6666666666666665,3,4.375,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,87.48,2015.5331
113287,OcnA-S217-01,OcnA,S217,01,4.2,2.3333333333333335,3,3.5,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,83.3,1061.5501
113298,OcnA-S217-01,OcnA,S217,01,4.8,4.333333333333333,3.5,4.625,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,94.51,1433.7335
113320,AnPhA-S217-01,AnPhA,S217,01,5,5,4.5,5,NA,NA,NA,NA,Scheduling Conflict,Approved/Enrolled,94.94,2296.2831
113322,OcnA-S217-01,OcnA,S217,01,4.6,4,5,4.375,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,80.49,3150.3829
113393,FrScA-S217-01,FrScA,S217,01,5,4.333333333333333,4.5,4.75,NA,NA,NA,NA,Learning Preference of the Student,Dropped,NA,37.3167
113424,FrScA-S217-02,FrScA,S217,02,5,5,4.5,5,NA,NA,NA,NA,Learning Preference of the Student,Approved/Enrolled,72.13,1038.0164
113438,AnPhA-S217-01,AnPhA,S217,01,4.4,4.666666666666667,3,4.5,NA,NA,NA,NA,Learning Preference of the Student,Approved/Enrolled,90.73,7055.6667
113440,PhysA-S217-01,PhysA,S217,01,4.8,3.6666666666666665,4.5,4.375,NA,NA,NA,NA,Learning Preference of the Student,Approved/Enrolled,97.36,998.0829
113448,AnPhA-S217-01,AnPhA,S217,01,5,4.666666666666667,4.5,4.875,NA,NA,NA,NA,Scheduling Conflict,Approved/Enrolled,91.17,4481.2833
113458,FrScA-S217-02,FrScA,S217,02,4.2,3.6666666666666665,3.5,4,NA,NA,NA,NA,Learning Preference of the Student,Approved/Enrolled,2.97,128.5
113467,FrScA-S217-02,FrScA,S217,02,4.8,3.6666666666666665,3.5,4.375,NA,NA,NA,NA,Other,Approved/Enrolled,80.89,3139.5166
113501,FrScA-S217-02,FrScA,S217,02,4.8,4,4,4.5,NA,NA,NA,NA,Other,Approved/Enrolled,92.65,1180.1169
113511,AnPhA-S217-01,AnPhA,S217,01,4.4,4.333333333333333,3,4.375,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,64.84,2556.0163
113512,AnPhA-S217-01,AnPhA,S217,01,4.2,5,3.5,4.5,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,77.85,1864.3995
