student_id,course_id,total_points_possible,total_points_earned,percentage_earned,subject,semester,section,Gradebook_Item,Grade_Category,FinalGradeCEMS,Points_Possible,Points_Earned,Gender,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,TimeSpent,TimeSpent_hours,TimeSpent_std
86794,FrScA-S116-01,1424,1146,0.8047752808988764,FrScA,S116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,90.1826484,10,10,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1274.8167,21.246945,-0.38742596428947296
86803,FrScA-S116-01,5430,4784,0.8810313075506445,FrScA,S116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,87.55707763,10,6,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3344.1504,55.73584,1.1398360494281607
86815,FrScA-S116-01,3288,2064,0.6277372262773723,FrScA,S116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,83.33333333,10,10,F,4,5,3,5,4,5,4,5,3,5,1666.7332,27.778886666666665,-0.09817383303622619
86836,FrScA-S216-01,8692,7122,0.8193741371375978,FrScA,S216,01,POINTS EARNED & TOTAL COURSE POINTS,NA,89.84198646,10,0,M,2,2,2,1,3,2,5,2,2,3,1422.7335,23.712225,-0.27825666509395486
86836,OcnA-S116-01,2867,2288,0.7980467387513079,OcnA,S116,01,ATTEMPTED,NA,NA,5,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.6833,0.778055,-1.2938440492981327
86882,FrScA-S116-03,3140,2724,0.867515923566879,FrScA,S116,03,POINTS EARNED & TOTAL COURSE POINTS,NA,80.3652968,235,231.75,F,4,5,4,4,4,4,4,4,4,5,1294.8334,21.580556666666666,-0.37265273291070516
86942,AnPhA-S216-01,8132,5874,0.7223315297589769,AnPhA,S216,01,POINTS EARNED & TOTAL COURSE POINTS,NA,83.624,10,10,M,5,4,3,5,4,4,4,3,3,5,3101.5166,51.691943333333334,0.9607613134472208
86943,OcnA-S116-01,4756,3015,0.6339360807401178,OcnA,S116,01,ATTEMPTED,NA,73.07872697,5,5,F,5,4,5,5,5,5,5,5,3,5,1377.5666,22.959443333333336,-0.3115918834047488
87001,OcnA-S116-02,4934,4252,0.8617754357519254,OcnA,S116,02,POINTS EARNED & TOTAL COURSE POINTS,NA,68.25795645,10,9,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1202.6335,20.043891666666664,-0.44070043586869817
87010,FrScA-S116-01,4052,2486,0.6135241855873642,FrScA,S116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,88.01369863,20,20,F,5,3,3,5,4,4,3,5,2,3,1920.8168,32.01361333333333,0.08935137403338565
87020,FrScA-S216-01,2428,1924,0.7924217462932455,FrScA,S216,01,POINTS EARNED & TOTAL COURSE POINTS,NA,73.25056433,5,5,F,4,3,3,4,4,3,3,5,2,5,1788.9003,29.815005,-0.008008978930750733
87027,FrScA-S116-01,5336,4606,0.8631934032983508,FrScA,S116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,78.76712329,10,10,F,5,5,4,4,4,5,4,5,4,5,1605.0336,26.75056,-0.14371093289671386
87043,AnPhA-S116-01,3349,2514,0.7506718423409973,AnPhA,S116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,91.312,5,6,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1587.1833,26.453055,-0.15688526293515279
87081,BioA-S116-01,4254,3315,0.7792665726375176,BioA,S116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,6.693548387,20,19,M,3,3,2,2,3,3,3,2,3,3,181.5999,3.026665,-1.1942694866261303
87093,FrScA-S116-01,2182,1544,0.7076076993583869,FrScA,S116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,60.2739726,5,5,F,5,5,4,4,4,5,5,5,4,4,486.65,8.110833333333334,-0.9691286937173959
87122,OcnA-S116-02,9066,5414,0.59717626296051185,OcnA,S116,02,POINTS EARNED & TOTAL COURSE POINTS,NA,8.040201005,24,NA,F,5,4,4,5,4,4,4,4,3,5,546.4335,9.107225,-0.9250057624583687
87163,FrScA-S116-01,3634,2827,0.7779306549257017,FrScA,S116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,88.58447489,465,223.075,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1365.8501,22.764168333333334,-0.3202391911752271
87166,AnPhA-S116-01,3818,2836,0.7427972760607648,AnPhA,S116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,77.3104,5,3,F,5,4,3,5,5,5,4,5,4,5,1471.8833,24.531388333333332,-0.24198188615336216
87171,PhysA-S116-01,6318,5466,0.8651471984805318,PhysA,S116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,97.5,443,398,F,4,4,3,4,4,4,3,4,4,4,768.6994,12.811656666666666,-0.7609634593659471
87209,OcnA-S116-02,2402,1921,0.7997502081598667,OcnA,S116,02,POINTS EARNED & TOTAL COURSE POINTS,NA,80.83752094,10,10,F,4,3,4,5,5,3,4,5,3,5,3755.1506,62.58584333333333,1.443172815794238
87484,FrScA-S116-01,7654,5626,0.7350405016984584,FrScA,S116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,92.69406393,10,NA,M,4,4,4,5,4,4,5,4,5,5,3341.9499,55.699165,1.138211980743064
87485,FrScA-S116-01,2201,1496,0.6796910495229441,FrScA,S116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,65.98173516,10,10,M,4,3,3,3,3,3,4,3,3,2,1451.8836,24.198059999999998,-0.2567425707620111
87489,FrScA-S116-01,9543,5562,0.5828355862936183,FrScA,S116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,71.00456621,438,5.5,M,4,3,3,4,4,4,4,4,3,5,1075.0999,17.918331666666667,-0.5348260100825909
87504,FrScA-S116-01,4005,3380,0.8439450686641697,FrScA,S116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,55.02283105,50,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1330.8502,22.180836666666668,-0.3460707029096157
87552,BioA-S116-01,3761,2626,0.6982185588939112,BioA,S116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,90.08064516,5,5,F,4,3,3,3,4,4,3,4,2,5,1496.8001,24.94666833333333,-0.2235921589946156
87579,FrScA-S116-01,3741,3238,0.8655439721999465,FrScA,S116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,96.11872146,15,15,F,3,3,3,3,4,4,3,3,2,3,1451.9169,24.198615,-0.2567179938534841
87670,OcnA-S216-01,2473,2116,0.855640921957137,OcnA,S216,01,POINTS EARNED & TOTAL COURSE POINTS,NA,76.20435511,10,0,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995.5832,33.25972,0.14453236423444316
87689,BioA-T116-01,5016,3877,0.77292663476874,BioA,T116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,82.70215054,10,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1525.0333,25.417221666666666,-0.2027547783992612
87693,FrScA-T116-01,2833,2520,0.8895164136957289,FrScA,T116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,89.76484018,50,44,M,4,2,3,4,4,2,4,4,2,4,2479.8167,41.33027833333333,0.501918623550443
87805,FrScA-S116-01,3850,2844,0.7387012987012987,FrScA,S116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,96.80365297,465,412.57,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1388.1167,23.135278333333336,-0.3038054316734875
87825,OcnA-S216-01,2514,1246,0.49562450278440734,OcnA,S216,01,POINTS EARNED & TOTAL COURSE POINTS,NA,93.47738693,10,NA,M,4,4,3,4,4,5,4,5,4,5,330.7998,5.51333,-1.0841532015047555
87861,FrScA-S216-01,1668,1156,0.6930455635491607,FrScA,S216,01,POINTS EARNED & TOTAL COURSE POINTS,NA,95.48532731,5,5,F,4,2,2,3,4,3,3,4,2,2,3303.3832,55.05638666666667,1.1097480090286693
87865,AnPhA-T116-01,3776,3113,0.824417372881356,AnPhA,T116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,83.1264,377,137.15,M,4,5,3,3,3,4,4,4,3,4,1304.1168,21.73528,-0.3658011631623624
87866,FrScA-T116-01,6130,4638,0.7566068515497553,FrScA,T116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,94.50456621,443,334.5,F,5,4,3,5,4,4,3,3,3,5,1988.8836,33.14806,0.13958775593511333
87905,FrScA-S116-01,8672,5622,0.6482933579335793,FrScA,S116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,93.37899543,10,9,F,5,5,4,4,4,5,4,5,4,5,2166.8999,36.11499833333333,0.270971849671451
87906,FrScA-S116-01,1520,709,0.4664473684210526,FrScA,S116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,81.73515982,75,30,M,4,3,3,5,5,4,5,5,3,4,1095.6001,18.260001666666668,-0.5196959338007353
87914,FrScA-S116-01,5082,2898,0.5702479338842975,FrScA,S116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,86.07305936,10,10,F,4,4,4,4,5,4,4,4,4,4,1156.1668,19.269446666666667,-0.4749949654618774
